source,source_id,normalized_id,source_name,normalized_name,valid_from,valid_to,notes
jolpica,monza,monza,Autodromo Nazionale di Monza,Monza,1950,,
jolpica,silverstone,silverstone,Silverstone Circuit,Silverstone,1950,,
jolpica,spa,spa,Circuit de Spa-Francorchamps,Spa-Francorchamps,1950,,
jolpica,monaco,monaco,Circuit de Monaco,Monaco,1950,,
jolpica,interlagos,interlagos,Autodromo Jose Carlos Pace,Interlagos,1973,,
jolpica,suzuka,suzuka,Suzuka Circuit,Suzuka,1987,,
jolpica,albert_park,albert_park,Albert Park Grand Prix Circuit,Albert Park,1996,,
jolpica,bahrain,bahrain,Bahrain International Circuit,Bahrain,2004,,
jolpica,shanghai,shanghai,Shanghai International Circuit,Shanghai,2004,,
jolpica,yas_marina,yas_marina,Yas Marina Circuit,Yas Marina,2009,,
jolpica,americas,americas,Circuit of the Americas,COTA,2012,,
jolpica,red_bull_ring,red_bull_ring,Red Bull Ring,Red Bull Ring,1970,,
jolpica,jeddah,jeddah,Jeddah Corniche Circuit,Jeddah,2021,,
jolpica,miami,miami,Miami International Autodrome,Miami,2022,,
jolpica,vegas,vegas,Las Vegas Strip Street Circuit,Las Vegas,2023,,
jolpica,losail,losail,Losail International Circuit,Lusail,2021,,
